"SupportedOn","Hive","EditorDir","EditorName","Properties","Drive","Path","ADMX"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Add or Remove Programs","Hide Add/Remove Windows Components page","NoWindowsSetupPage (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","AddRemovePrograms.admx"
"Windows Server 2016, Windows 10 up to Version 1703","Computer","Windows Components > Data Collection and Preview Builds","Toggle user control over Insider builds","AllowBuildPreview (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\PreviewBuilds","AllowBuildPreview.admx"
"At least Windows Server 2003","Computer","Windows Components > Application Compatibility","Prevent access to 16-bit applications","VDMDisallowed (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppCompat.admx"
"At least Windows Server 2003","Computer","Windows Components > Application Compatibility","Remove Program Compatibility Property Page","DisablePropPage (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppCompat.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Windows Components > Application Compatibility","Turn off Application Telemetry","AITEnable (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppCompat.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Windows Components > Application Compatibility","Turn off SwitchBack Compatibility Engine","SbEnable (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppCompat.admx"
"At least Windows Server 2003","Computer","Windows Components > Application Compatibility","Turn off Application Compatibility Engine","DisableEngine (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppCompat.admx"
"At least Windows Vista","User","Windows Components > Application Compatibility","Turn off Program Compatibility Assistant","DisablePCA (toggle)","HKCU:\","Software\Policies\Microsoft\Windows\AppCompat","AppCompat.admx"
"At least Windows Vista","Computer","Windows Components > Application Compatibility","Turn off Program Compatibility Assistant","DisablePCA (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppCompat.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Windows Components > Application Compatibility","Turn off Steps Recorder","DisableUAR (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppCompat.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Windows Components > Application Compatibility","Turn off Inventory Collector","DisableInventory (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppCompat.admx"
"At least Windows 11 Version 24H2","Computer","Windows Components > App and Device Inventory","Turn off Install Tracing","DisableInstallTracing (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppDeviceInventory.admx"
"At least Windows 11 Version 24H2","Computer","Windows Components > App and Device Inventory","Turn off API Sampling","DisableAPISamping (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppDeviceInventory.admx"
"At least Windows 11 Version 24H2","Computer","Windows Components > App and Device Inventory","Turn off Application Footprint","DisableApplicationFootprint (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppDeviceInventory.admx"
"At least Windows 11 Version 24H2","Computer","Windows Components > App and Device Inventory","Turn off compatibility scan for backed up applications","DisableWin32AppBackup (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\AppCompat","AppDeviceInventory.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access account information","LetAppsAccessAccountInfo (enum), LetAppsAccessAccountInfo_UserInControlOfTheseApps (multiText), LetAppsAccessAccountInfo_ForceAllowTheseApps (multiText), LetAppsAccessAccountInfo_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access the calendar","LetAppsAccessCalendar (enum), LetAppsAccessCalendar_UserInControlOfTheseApps (multiText), LetAppsAccessCalendar_ForceAllowTheseApps (multiText), LetAppsAccessCalendar_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access call history","LetAppsAccessCallHistory (enum), LetAppsAccessCallHistory_UserInControlOfTheseApps (multiText), LetAppsAccessCallHistory_ForceAllowTheseApps (multiText), LetAppsAccessCallHistory_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access the camera","LetAppsAccessCamera (enum), LetAppsAccessCamera_UserInControlOfTheseApps (multiText), LetAppsAccessCamera_ForceAllowTheseApps (multiText), LetAppsAccessCamera_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access contacts","LetAppsAccessContacts (enum), LetAppsAccessContacts_UserInControlOfTheseApps (multiText), LetAppsAccessContacts_ForceAllowTheseApps (multiText), LetAppsAccessContacts_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access email","LetAppsAccessEmail (enum), LetAppsAccessEmail_UserInControlOfTheseApps (multiText), LetAppsAccessEmail_ForceAllowTheseApps (multiText), LetAppsAccessEmail_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps make use of Text and image generation features of Windows","LetAppsAccessSystemAIModels (enum), LetAppsAccessSystemAIModels_UserInControlOfTheseApps (multiText), LetAppsAccessSystemAIModels_ForceAllowTheseApps (multiText), LetAppsAccessSystemAIModels_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps take screenshots of various windows or displays","LetAppsAccessGraphicsCaptureProgrammatic (enum), LetAppsAccessGraphicsCaptureProgrammatic_UserInControlOfTheseApps (multiText), LetAppsAccessGraphicsCaptureProgrammatic_ForceAllowTheseApps (multiText), LetAppsAccessGraphicsCaptureProgrammatic_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps turn off the screenshot border","LetAppsAccessGraphicsCaptureWithoutBorder (enum), LetAppsAccessGraphicsCaptureWithoutBorder_UserInControlOfTheseApps (multiText), LetAppsAccessGraphicsCaptureWithoutBorder_ForceAllowTheseApps (multiText), LetAppsAccessGraphicsCaptureWithoutBorder_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access presence sensing","LetAppsAccessHumanPresence (enum), LetAppsAccessHumanPresence_UserInControlOfTheseApps (multiText), LetAppsAccessHumanPresence_ForceAllowTheseApps (multiText), LetAppsAccessHumanPresence_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access location","LetAppsAccessLocation (enum), LetAppsAccessLocation_UserInControlOfTheseApps (multiText), LetAppsAccessLocation_ForceAllowTheseApps (multiText), LetAppsAccessLocation_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access messaging","LetAppsAccessMessaging (enum), LetAppsAccessMessaging_UserInControlOfTheseApps (multiText), LetAppsAccessMessaging_ForceAllowTheseApps (multiText), LetAppsAccessMessaging_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access the microphone","LetAppsAccessMicrophone (enum), LetAppsAccessMicrophone_UserInControlOfTheseApps (multiText), LetAppsAccessMicrophone_ForceAllowTheseApps (multiText), LetAppsAccessMicrophone_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access motion","LetAppsAccessMotion (enum), LetAppsAccessMotion_UserInControlOfTheseApps (multiText), LetAppsAccessMotion_ForceAllowTheseApps (multiText), LetAppsAccessMotion_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access notifications","LetAppsAccessNotifications (enum), LetAppsAccessNotifications_UserInControlOfTheseApps (multiText), LetAppsAccessNotifications_ForceAllowTheseApps (multiText), LetAppsAccessNotifications_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps make phone calls","LetAppsAccessPhone (enum), LetAppsAccessPhone_UserInControlOfTheseApps (multiText), LetAppsAccessPhone_ForceAllowTheseApps (multiText), LetAppsAccessPhone_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps control radios","LetAppsAccessRadios (enum), LetAppsAccessRadios_UserInControlOfTheseApps (multiText), LetAppsAccessRadios_ForceAllowTheseApps (multiText), LetAppsAccessRadios_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps communicate with unpaired devices","LetAppsSyncWithDevices (enum), LetAppsSyncWithDevices_UserInControlOfTheseApps (multiText), LetAppsSyncWithDevices_ForceAllowTheseApps (multiText), LetAppsSyncWithDevices_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access Tasks","LetAppsAccessTasks (enum), LetAppsAccessTasks_UserInControlOfTheseApps (multiText), LetAppsAccessTasks_ForceAllowTheseApps (multiText), LetAppsAccessTasks_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access trusted devices","LetAppsAccessTrustedDevices (enum), LetAppsAccessTrustedDevices_UserInControlOfTheseApps (multiText), LetAppsAccessTrustedDevices_ForceAllowTheseApps (multiText), LetAppsAccessTrustedDevices_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps run in the background","LetAppsRunInBackground (enum), LetAppsRunInBackground_UserInControlOfTheseApps (multiText), LetAppsRunInBackground_ForceAllowTheseApps (multiText), LetAppsRunInBackground_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10 Version 1703","Computer","Windows Components > App Privacy","Let Windows apps access diagnostic information about other apps","LetAppsGetDiagnosticInfo (enum), LetAppsGetDiagnosticInfo_UserInControlOfTheseApps (multiText), LetAppsGetDiagnosticInfo_ForceAllowTheseApps (multiText), LetAppsGetDiagnosticInfo_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access an eye tracker device","LetAppsAccessGazeInput (enum), LetAppsAccessGazeInput_UserInControlOfTheseApps (multiText), LetAppsAccessGazeInput_ForceAllowTheseApps (multiText), LetAppsAccessGazeInput_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps activate with voice","LetAppsActivateWithVoice (enum)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps activate with voice while the system is locked","LetAppsActivateWithVoiceAboveLock (enum)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Privacy","Let Windows apps access user movements while running in the background","LetAppsAccessBackgroundSpatialPerception (enum), LetAppsAccessBackgroundSpatialPerception_UserInControlOfTheseApps (multiText), LetAppsAccessBackgroundSpatialPerception_ForceAllowTheseApps (multiText), LetAppsAccessBackgroundSpatialPerception_ForceDenyTheseApps (multiText)","HKLM:\","Software\Policies\Microsoft\Windows\AppPrivacy","AppPrivacy.admx"
"At least Windows Server 2016 or Windows 10","Computer","System > App-V","Enable App-V Client","Enabled (toggle)","HKLM:\","Software\Policies\Microsoft\AppV\Client","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Package Installation Root","PackageInstallationRoot (text)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Specify what to load in background (aka AutoLoad)","Autoload (enum)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Package Source Root","PackageSourceRoot (text)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Reestablishment Retries","ReestablishmentRetries (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Reestablishment Interval","ReestablishmentInterval (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Location Provider","LocationProvider (text)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Certificate Filter For Client SSL","CertFilterForClientSsl (text)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Verify certificate revocation list","VerifyCertificateRevocationList (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Shared Content Store (SCS) mode","SharedContentStoreMode (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Allow First Time Application Launches if on a High Cost Windows 8 Metered Connection","AllowHighCostLaunch (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Require Publish As Admin","RequirePublishAsAdmin (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Streaming","Enable Support for BranchCache","SupportBranchCache (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Streaming","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Reporting","Reporting Server","ReportingEnabled (toggle), ReportingServerURL (text), ReportingStartTime (decimal), ReportingRandomDelay (decimal), ReportingInterval (decimal), ReportingDataCacheLimit (decimal), ReportingDataBlockSize (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Reporting","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Publishing","Publishing Server 1 Settings","Name (text), URL (text), GlobalEnabled (enum), GlobalLogonRefresh (enum), GlobalPeriodicRefreshInterval (decimal), GlobalPeriodicRefreshIntervalUnit (enum), UserEnabled (enum), UserLogonRefresh (enum), UserPeriodicRefreshInterval (decimal), UserPeriodicRefreshIntervalUnit (enum)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Publishing\Servers\1","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Publishing","Publishing Server 2 Settings","Name (text), URL (text), GlobalEnabled (enum), GlobalLogonRefresh (enum), GlobalPeriodicRefreshInterval (decimal), GlobalPeriodicRefreshIntervalUnit (enum), UserEnabled (enum), UserLogonRefresh (enum), UserPeriodicRefreshInterval (decimal), UserPeriodicRefreshIntervalUnit (enum)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Publishing\Servers\2","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Publishing","Publishing Server 3 Settings","Name (text), URL (text), GlobalEnabled (enum), GlobalLogonRefresh (enum), GlobalPeriodicRefreshInterval (decimal), GlobalPeriodicRefreshIntervalUnit (enum), UserEnabled (enum), UserLogonRefresh (enum), UserPeriodicRefreshInterval (decimal), UserPeriodicRefreshIntervalUnit (enum)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Publishing\Servers\3","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Publishing","Publishing Server 4 Settings","Name (text), URL (text), GlobalEnabled (enum), GlobalLogonRefresh (enum), GlobalPeriodicRefreshInterval (decimal), GlobalPeriodicRefreshIntervalUnit (enum), UserEnabled (enum), UserLogonRefresh (enum), UserPeriodicRefreshInterval (decimal), UserPeriodicRefreshIntervalUnit (enum)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Publishing\Servers\4","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Publishing","Publishing Server 5 Settings","Name (text), URL (text), GlobalEnabled (enum), GlobalLogonRefresh (enum), GlobalPeriodicRefreshInterval (decimal), GlobalPeriodicRefreshIntervalUnit (enum), UserEnabled (enum), UserLogonRefresh (enum), UserPeriodicRefreshInterval (decimal), UserPeriodicRefreshIntervalUnit (enum)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Publishing\Servers\5","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Publishing","Enable Publishing Refresh UX","EnablePublishingRefreshUI (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Publishing","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Client Coexistence","Enable Migration Mode","MigrationMode (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Coexistence","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Scripting","Enable Package Scripts","EnablePackageScripts (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Scripting","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Integration","Roaming File Exclusions","RoamingFileExclusions (text)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Integration","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Integration","Roaming Registry Exclusions","RoamingRegistryExclusions (text)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Integration","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Integration","Integration Root User","IntegrationRootUser (text)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Integration","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Integration","Integration Root Global","IntegrationRootGlobal (text)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Integration","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","CEIP","Microsoft Customer Experience Improvement Program (CEIP)","CEIPEnable (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\CEIP","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Virtualization","Virtual Component Process Allow List","ProcessesUsingVirtualComponents (toggle), ProcessesUsingVirtualComponents (multiText)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Virtualization","appv.admx"
"At least Windows Server 2008 R2 or Windows 7","Computer","Virtualization","Enable Dynamic Virtualization","EnableDynamicVirtualization (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\Virtualization","appv.admx"
"At least Windows Server 2016 or Windows 10","Computer","PackageManagement","Enable automatic cleanup of unused appv packages","AutoCleanupEnabled (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\PackageManagement","appv.admx"
"At least Windows Server 2016 or Windows 10","Computer","PowerManagement","Enable background sync to server when on battery power","SyncOnBatteriesEnabled (toggle)","HKLM:\","SOFTWARE\Policies\Microsoft\AppV\Client\PowerManagement","appv.admx"
"At least Windows Server 2012, Windows 8 or Windows RT","Computer","Windows Components > App Package Deployment","Allow all trusted apps to install","AllowAllTrustedApps (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Package Deployment","Archive infrequently used apps","AllowAutomaticAppArchiving (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
"At least Windows Server 2012, Windows 8 or Windows RT","Computer","Windows Components > App Package Deployment","Allow deployment operations in special profiles","AllowDeploymentInSpecialProfiles (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
"At least Windows Server 2012, Windows 8 or Windows RT","Computer","Windows Components > App Package Deployment","Allows development of packaged Microsoft Store apps and installing them from an integrated development environment (IDE)","AllowDevelopmentWithoutDevLicense (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
"At least Windows 8.1 Update 2","Computer","Windows Components > App Package Deployment","Disable installing Windows apps on non-system volumes","RestrictAppToSystemVolume (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
"At least Windows 8.1 Update 2","Computer","Windows Components > App Package Deployment","Prevent users' app data from being stored on non-system volumes","RestrictAppDataToSystemVolume (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Package Deployment","Allow a Windows app to share application data between users","AllowSharedLocalAppData (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\CurrentVersion\AppModel\StateManager","AppxPackageManager.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > App Package Deployment","Prevent non-admin users from installing packaged Windows apps","BlockNonAdminUserInstall (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
"At least Windows 11 Version 22H2","Computer","Windows Components > App Package Deployment","Set authorized domains for HTTPS authentication in MSIX streaming install","MSIXAuthenticationAuthorizedDomains (text)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
"At least Windows Server 2016, Windows 10 Version 2106","Computer","Windows Components > App Package Deployment","Not allow sideloaded apps to auto-update in the background","DisableBackgroundAutoUpdates (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
"At least Windows Server 2016, Windows 10 Version 2106","Computer","Windows Components > App Package Deployment","Not allow sideloaded apps to auto-update in the background on a metered network","DisableMeteredNetworkBackgroundAutoUpdates (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
"Unknown","Computer","Windows Components > App Package Deployment","Not allow per-user unsigned packages to install by default (requires explicitly allow per install)","DisablePerUserUnsignedPackagesByDefault (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Appx","AppxPackageManager.admx"
